"tanggal","waktu","lat","lon","kdlm.KM","mag.SR","typemag","smaj","smin","az","rms","cphase","region"
"1/1/2018","00:43:05 UTC",-11.65,117.61,10,4.2,"MLv",7.912,2.807,233,0.581,14,"South of Sumbawa, Indonesia"
"1/1/2018","00:52:32 UTC",-0.33,123.73,112,5.1,"MLv",10.316,0.932,54,0.904,39,"Minahassa Peninsula, Sulawesi"
"1/1/2018","02:47:53 UTC",-1.4,120.47,10,2.4,"MLv",3.22,1.196,137,0.682,5,"Sulawesi, Indonesia"
"1/1/2018","03:03:26 UTC",-9.42,117.9,24,2.4,"MLv",1.206,0.596,279,0.122,6,"Sumbawa Region, Indonesia"
"1/1/2018","03:07:09 UTC",1.42,122.04,17,1.9,"MLv",1.299,0.533,232,0.027,5,"Minahassa Peninsula, Sulawesi"
"1/1/2018","03:24:53 UTC",-6.11,130.34,157,4.3,"MLv",12.765,1.636,99,1.319,12,"Banda Sea"
"1/1/2018","03:32:13 UTC",-3.24,128.84,10,3.5,"MLv",7.167,0.448,95,1.074,15,"Seram, Indonesia"
"1/1/2018","04:30:53 UTC",-0.24,123.07,63,2.3,"MLv",2.656,0.853,212,0.162,7,"Minahassa Peninsula, Sulawesi"
"1/1/2018","04:59:02 UTC",2.31,97.06,59,2.9,"MLv",2.531,0.744,125,0.209,6,"Northern Sumatra, Indonesia"
"1/1/2018","05:22:39 UTC",0.19,121.95,155,2.4,"MLv",2.062,0.289,128,0.514,11,"Minahassa Peninsula, Sulawesi"
"1/1/2018","06:22:42 UTC",-6.46,101.7,10,4.9,"mb",26.054,1.245,193,1.042,41,"Southwest of Sumatra, Indonesia"
"1/1/2018","07:26:01 UTC",-4.41,102.14,43,4.8,"mb",43.421,0.658,136,1.706,70,"Southern Sumatra, Indonesia"
"1/1/2018","07:31:59 UTC",-0.23,122.94,12,2.7,"MLv",1.339,0.827,196,0.581,8,"Minahassa Peninsula, Sulawesi"
"1/1/2018","07:48:02 UTC",0.59,122.34,61,1.7,"MLv",1.641,0.402,183,0.334,8,"Minahassa Peninsula, Sulawesi"
"1/1/2018","09:03:09 UTC",-0.72,131.12,17,2.5,"MLv",4.736,0.198,181,0.067,6,"Irian Jaya Region, Indonesia"
"1/1/2018","09:04:33 UTC",-0.28,125.35,10,4,"MLv",7.395,1.609,78,0.531,19,"Southern Molucca Sea"
"1/1/2018","09:17:57 UTC",-3.51,119.1,22,2.5,"MLv",6.579,0.183,75,0.018,6,"Sulawesi, Indonesia"
"1/1/2018","10:40:23 UTC",-6.9,106.83,10,3.3,"MLv",6.76,0.226,57,0.538,17,"Java, Indonesia"
"1/1/2018","15:55:23 UTC",-9.48,118.11,22,3.1,"MLv",4.98,0.723,205,0.168,7,"Sumbawa Region, Indonesia"
"1/1/2018","16:05:54 UTC",-7.66,119.28,19,3.5,"MLv",5.351,1.27,79,0.485,17,"Flores Sea"
"1/1/2018","16:16:02 UTC",-9.82,124.25,10,3.1,"MLv",7.386,0.071,140,0.903,11,"Timor Region"
"1/1/2018","16:25:36 UTC",-7.96,116.84,288,4.5,"mb",16.146,0.77,69,0.898,51,"Bali Sea"
"1/1/2018","16:32:38 UTC",-8.49,121.3,181,4.5,"MLv",10.211,0.466,62,0.939,39,"Flores Region, Indonesia"
"1/1/2018","17:38:34 UTC",0.27,121.83,170,2.6,"MLv",2.171,0.23,128,0.505,11,"Minahassa Peninsula, Sulawesi"
"1/1/2018","17:46:54 UTC",1.01,132.52,10,3.3,"MLv",6.08,2.202,292,0.949,8,"Irian Jaya Region, Indonesia"
"1/1/2018","18:32:23 UTC",-8.3,123.53,10,2.9,"MLv",2.949,0.529,134,0.912,7,"Flores Region, Indonesia"
"1/1/2018","22:28:09 UTC",-0.2,125.41,10,3.3,"MLv",5.085,1.623,87,0.806,11,"Southern Molucca Sea"
"1/1/2018","22:48:12 UTC",-0.01,122.55,158,2.4,"MLv",2.674,0.78,110,1.031,8,"Minahassa Peninsula, Sulawesi"
"1/2/2018","01:40:50 UTC",-9.62,115.48,17,3.1,"MLv",5.182,0.863,198,0.36,11,"South of Bali, Indonesia"
"1/2/2018","01:47:44 UTC",-7.31,128.29,196,4.1,"MLv",10.52,3.056,129,0.827,9,"Banda Sea"
"1/2/2018","02:16:18 UTC",-38.78,46.48,10,5.2,"Mw",91.014,19.273,74,0.883,54,"Southwest Indian Ridge"
"1/2/2018","02:21:29 UTC",-8.29,119.99,172,3.9,"MLv",11.849,1.673,93,0.543,20,"Flores Region, Indonesia"
"1/2/2018","02:27:03 UTC",4.56,124.45,10,3.5,"MLv",5.02,1.381,237,0.368,6,"Celebes Sea"
"1/2/2018","03:52:52 UTC",-9.98,124.96,18,3,"MLv",6.686,0.72,172,0.294,7,"Timor Region"
"1/2/2018","04:24:19 UTC",41.49,23.26,10,4.9,"mb",73.377,15.128,153,1.375,22,"Greece Bulgaria Border Region"
